film_id,nota_modelo,nota_gemini,evaluada,nota_reglas
weapons,13.940693204417784,,False,7.511926294265014
the-secret-agent,7.523332843172563,,False,7.511926294265014
sinners,7.499999999999999,7.5,True,7.511926294265014
marty-supreme,5.500000000000001,5.5,True,7.511926294265014
one-battle-after-another,0.8770928904833344,,False,7.511926294265014
train-dreams,-0.9081209650426665,,False,7.511926294265014
it-was-just-an-accident,-11.853864300959891,,False,7.511926294265014
sorry-baby,-13.043209146432343,,False,7.511926294265014
sentimental-value,-13.566407256156854,,False,7.511926294265014
hamnet,-14.82046578985824,,False,7.511926294265014
