film_id,nota_modelo,nota_gemini,evaluada,nota_reglas
the-secret-agent,10.917007885279688,,False,7.511926294265014
sentimental-value,10.281119069911636,,False,7.511926294265014
train-dreams,8.424272394270535,,False,7.511926294265014
sorry-baby,7.967688173745441,,False,7.511926294265014
it-was-just-an-accident,7.670932763794623,,False,7.511926294265014
sinners,7.5,7.5,True,7.511926294265014
hamnet,7.385131225815269,,False,7.511926294265014
one-battle-after-another,7.037690376754412,,False,7.511926294265014
weapons,5.805563338335383,,False,7.511926294265014
marty-supreme,5.5,5.5,True,7.511926294265014
